,Title,Published_date,Views,Likes,Comments,Month
28,Caitlin’s shot at the end 👀💰,31-05-2025,15580602,270038,544,May
29,Now ya know 😂🤷‍♂️,29-05-2025,38809617,643764,1807,May
30,Which shot went in? 🧐 Featuring Caitlin Clark!,25-05-2025,4418423,54111,1548,May
31,We Raced The Craziest Soapbox Cars Ever!,17-05-2025,7384346,90284,3507,May
32,Bull Riding with Emojis 🐂😱,16-05-2025,4556211,76939,272,May
33,CRAZIEST IMPOSSIBLE SHOT YET 🤯🏒 @AlwaysHockey,01-05-2025,278329786,6254922,4516,May
34,Tortoise vs. Hare - Who Wins?,26-04-2025,11170174,92686,1843,Apr
35,NO WAY he actually made it 🤯 @gmgolf,10-04-2025,126816074,3130443,3762,Apr
36,Stranded In Arctic Wilderness | Winter Survival Games,05-04-2025,6678561,109624,3066,Apr
37,It just keeps getting crazier 😂,03-04-2025,5281581,78934,478,Apr
38,Sooo THIS JUST HAPPENED 😳  New vid with Caitlin Clark coming soon...,01-04-2025,16533457,352748,3121,Apr
39,"#wbpartner This was INSANE. Go get tickets for A Minecraft Movie today, only in theaters April 4th!",31-03-2025,2405431,68746,562,Mar
40,It bent the bat 😱,23-03-2025,26597603,551069,656,Mar
41,We Built A 1000 MPH Baseball Cannon,22-03-2025,5595339,87675,2618,Mar
42,THE LIQUID NITROGEN ONE 😱 @NickDiGiovanni,15-03-2025,12601127,317961,588,Mar
43,Ty aura farming at the end 😂,11-03-2025,13278512,567416,1252,Mar
44,REAL or CAKE with Nick DiGiovanni,08-03-2025,6830653,116647,3821,Mar
45,Balloon Pop SHOWDOWN with @howridiculous!,27-02-2025,3809826,85806,473,Feb
46,20 YouTubers Compete in Biggest Trick Shot Contest Ever!,22-02-2025,11005993,164645,4618,Feb
47,First To The Top Wins A Lamborghini,08-02-2025,7903803,118662,3010,Feb
48,Dear Luka...,02-02-2025,3842149,165771,1378,Feb
49,Dude Perfect vs Keanu Reeves (150 MPH),25-01-2025,6643149,172739,3808,Jan
50,Panda got absolutely POSTERIZED 🐼,24-01-2025,43094216,1215606,3519,Jan
51,bro was just doing his routine 😭🙏🏻,23-01-2025,153727029,4146949,8786,Jan
52,We Built The World's Greatest Office,11-01-2025,8792901,238691,11104,Jan
53,This vid’s gonna bang 💥,31-12-2024,2827945,96312,542,Dec
54,Cowboy Airsoft Battle Royale,28-12-2024,7646368,149179,3396,Dec
55,The CRAZIEST Fishing Trip Ever,14-12-2024,4778640,103694,2080,Dec
56,Take note ✍️,07-12-2024,10546277,496129,1716,Dec
57,We tried to break THREE World Records in ONE hour with Jason Kelce 🏈🌭😂 @NFL,02-12-2024,2369173,102387,253,Dec
58,Birthday Stereotypes | Dude Perfect,30-11-2024,7084101,122382,5998,Nov
59,That's how break dancing should be done tbh,28-11-2024,12656324,436908,1916,Nov
60,Which sports should we do next? 😂,21-11-2024,78647482,2010608,10754,Nov
61,Average Dude vs. Steph Curry,16-11-2024,20770670,411608,10164,Nov
62,Steph Curry's son the next member of Dude Perfect? 😤,14-11-2024,2724925,109720,345,Nov
63,Which shot went in? 😵‍💫 #StephCurry,10-11-2024,19888841,385450,22610,Nov
64,We Won Every Game at the State Fair!,02-11-2024,10838922,127642,2375,Nov
65,Mystery Detective Battle: HALLOWEEN,19-10-2024,6298772,109891,3569,Oct
66,Dude Perfect Headquarters is GONE!,05-10-2024,9268704,168045,4375,Oct
67,Our Longest Trick Shots EVER,21-09-2024,12125560,221795,4573,Sep
68,Football is BACK! 🏈 Let's kick it off with some tailgating trick shots with @Reeses !,17-09-2024,3122512,106485,669,Sep
69,Which one was the worst? 🤣,16-09-2024,5952849,226964,982,Sep
70,CeeDee is SMOOTH with it,13-09-2024,4753535,128461,405,Sep
71,Dude Perfect vs Mark Rober: Battle Bots,07-09-2024,10341855,174248,4033,Sep
72,Awkward Stereotypes,24-08-2024,17771964,169988,4673,Aug
73,End of an era 🥺. DPHQ3 reveal COMING SOON!,14-08-2024,3556477,143970,2261,Aug
74,F1 Edition | Dude Perfect,10-08-2024,6686764,160948,3686,Aug
75,Olympic Mini Games Battle,27-07-2024,11376588,167360,3008,Jul
76,This should be an Olympic sport,27-07-2024,3495204,164233,677,Jul
77,We Dropped 1000 Basketballs from an Airplane,13-07-2024,11407587,187451,5554,Jul
78,The Survivor Games: Island Edition,29-06-2024,12166140,155187,3547,Jun
79,Dad Stereotypes,15-06-2024,15397443,199380,5998,Jun
80,Dads be like...,12-06-2024,23627770,1081350,3781,Jun
81,Dodgeball Island Battle Royale,01-06-2024,10120434,131079,3310,Jun
82,Gonna tell my kids this was Spider-Man,30-05-2024,69597216,2731215,13938,May
83,Australia Bucket List,18-05-2024,7186917,152507,4862,May
84,Dude Wars 2 | OT 45,04-05-2024,9151003,165845,4972,May
85,How it started vs how it’s going,01-05-2024,3301113,124273,637,May
86,"LEGOOOOO! One year ago, the impossible happened.",30-04-2024,2277991,93491,615,Apr
87,We Remade Our 1st Video 15 Years Later,20-04-2024,10923369,271606,9790,Apr
88,Make it or break it! (That last level 🤯),16-04-2024,16893006,780247,695,Apr
89,Average Dude vs. MLB Pitcher,06-04-2024,17117455,294427,11475,Apr
90,"THE WINK AT THE END 💀 Storybook day at the @Formula1 AGP for Ty and the CHAMP, Carlos Sainz!",24-03-2024,4516422,220070,659,Mar
91,The Tesla Coil Electricity Gun! | OT 43,23-03-2024,10871960,184334,4006,Mar
92,Prison Escape Battle,09-03-2024,12908576,214575,3262,Mar
93,HOW did that happen to Ty at the end?!,08-03-2024,34742204,1391521,1355,Mar
94,Honestly whoever did it should just own up,26-02-2024,5624419,323401,1638,Feb
95,Office Stereotypes | Dude Perfect,24-02-2024,12780435,195971,4373,Feb
96,Medieval Battle,10-02-2024,5271113,117050,2645,Feb
97,Which level took the longest?? 🏈,01-02-2024,15698635,720226,3264,Feb
98,We Put a Rocket in a Football,20-01-2024,10953135,173496,2965,Jan
99,INSANE ROCKET FOOTBALL THROW 🤯🚀,09-01-2024,4359244,207373,907,Jan
100,this stuff is CRAZY 🤯,07-01-2024,16914825,491249,1280,Jan
101,Pet Stereotypes,06-01-2024,9619932,177415,3885,Jan
102,What was that?!? 🤣🤣 #challenge,26-12-2023,4408656,149290,665,Dec
103,How did Zach do that?? 🤯🪄,22-12-2023,2036251,67678,321,Dec
104,WHO had the best response? 😂🦉,20-12-2023,7148811,305212,2262,Dec
105,Mystery Detective Battle,16-12-2023,11704783,218317,7039,Dec
106,Garrett is fed up 🤣 #challenge,14-12-2023,11849952,557335,869,Dec
107,Watch closely… 🫨🪄,07-12-2023,12520876,547860,1576,Dec
108,We took the record back 🤠,04-12-2023,8647972,453759,993,Dec
109,Top 10 GIFS of ALL TIME | OT 42,02-12-2023,10064245,163581,5096,Dec
110,Kinda satisfying tbh 😯,22-11-2023,11803900,476639,925,Nov
111,Luckiest Dude Wins,18-11-2023,18076735,207963,3070,Nov
112,Which dude drank the lime juice?? 🫨,13-11-2023,8042677,269445,5463,Nov
113,Punishment Plinko is NASTY 🤢,09-11-2023,6641311,223800,616,Nov
114,NECK & NECK 🤯,07-11-2023,4171636,182766,469,Nov
115,Zombie Airsoft Battle Royale,04-11-2023,16352517,231771,5729,Nov
116,What an ENDING!!! 🫨,25-10-2023,7545132,306035,661,Oct
117,Build a Fort Battle,21-10-2023,8992304,175271,3803,Oct
118,Down to the WIRE! 🥤,13-10-2023,4086751,167963,440,Oct
119,The World's First Square Bike | OT41,07-10-2023,14602259,233133,10383,Oct
120,Road Trip Stereotypes,23-09-2023,14248558,238198,6336,Sep
121,MARK ATE THE BASKETBALL 🤯🏀,23-09-2023,30593342,1417142,3810,Sep
122,FREAK Athlete,13-09-2023,45274983,2670842,7320,Sep
123,Ultimate RC Mini Games Battle,09-09-2023,18147046,203556,3005,Sep
124,CAN’T BELIEVE COBY IS AN ASTRONAUT 🚀,28-08-2023,52655687,2084881,11628,Aug
125,We Bought a Premier League Team! | OT 40,26-08-2023,8744925,186274,4752,Aug
126,BUZZER BEATER!!! 🚨,16-08-2023,13646211,605811,1695,Aug
127,Angry Birds in Real Life,12-08-2023,9927840,188811,3422,Aug
128,The Survivor Games,29-07-2023,17326215,328853,5949,Jul
129,Golf World Records with Rory McIlroy,15-07-2023,8410695,174721,3290,Jul
130,Is Sparky a psychopath for tying shoes like this???,10-07-2023,15562416,684220,8335,Jul
131,"$50,000 Crystal Treasure Hunt",01-07-2023,12752943,206964,3540,Jul
132,Who else wants to try this? 🤯💎,27-06-2023,94580001,3154369,14380,Jun
133,Dudes vs Fans 2v2 👀,19-06-2023,10148230,407711,924,Jun
134,We Made a REAL Plasma Blaster | OT39,17-06-2023,14277975,234405,5201,Jun
135,HOW did he do that many?? 😳 #dudeperfect #shorts,09-06-2023,32725941,1676052,1700,Jun
136,Neighborhood Stereotypes,03-06-2023,21183200,314850,7572,Jun
137,The World’s Highest Basketball Shot 🏀,20-05-2023,10616229,531636,5738,May
138,The NEW World’s Highest Basketball Shot,20-05-2023,10404463,382939,12951,May
139,Craziest Ways To Catch a Fish! (No Poles Allowed),06-05-2023,12116801,212867,3600,May
140,Deliver a first round NFL Draft Pick? Bucket List: ACHIEVED. #ad,02-05-2023,2881033,100950,315,May
141,That comeback was SPECIAL,29-04-2023,28468221,852057,2142,Apr
142,Pickleball Trick Shots,15-04-2023,7550245,170846,12212,Apr
143,World's Strongest Dude,01-04-2023,24109963,337785,7417,Apr
144,14 years later...feels like yesterday,29-03-2023,37811524,1087554,7010,Mar
145,FROM WAY DOWNTOWN!,23-03-2023,4360588,168413,449,Mar
146,World's Brightest Flashlight | OT38,18-03-2023,14018944,230241,15047,Mar
147,Which level took the longest?? 🤯,18-03-2023,111435464,4047216,34754,Mar
148,tbh he made it farther than we thought he would,03-03-2023,70302430,1713142,3018,Mar
149,Hotel Stereotypes,25-02-2023,29520788,390200,9077,Feb
150,Can We Outrun a Police Dog? | Animal Olympics,11-02-2023,18244715,231749,3669,Feb
151,Well that escalated QUICKLY 😳🎱,04-02-2023,60125449,2310920,18376,Feb
152,Oreo Roll Roulette! 🤢,27-01-2023,184931903,7266220,10620,Jan
153,Ultimate Mini Games Battle 3,21-01-2023,25727748,274970,4836,Jan
154,Dude Perfect EXPOSED (Part 2) 🤫,11-01-2023,40492740,2045958,18551,Jan
155,Cake Flip Challenge! 😳🎂 #shorts,06-01-2023,31179853,1482327,5750,Jan
156,Average Dude vs. Luka Doncic (1-on-1),31-12-2022,22390201,513057,8720,Dec
157,Dude Perfect's $100 Million Theme Park,17-12-2022,15611797,358153,13901,Dec
158,Deep Sea Fishing Battle 2,03-12-2022,12224092,224974,4362,Dec
159,2022 was a BLAST! 🚀 What was your favorite moment from this year?? #2022inShort #ad,02-12-2022,4444553,132982,783,Dec
160,Thanksgiving Stereotypes,19-11-2022,23528959,330125,7788,Nov
161,Dude Perfect Goes to SPACE,05-11-2022,44931012,1445582,54593,Nov
162,Gun Game Airsoft Battle Royale,22-10-2022,13974204,316948,6173,Oct
163,Wedding Stereotypes,08-10-2022,20121914,378669,11983,Oct
164,Stair Jump CHALLENGE,01-10-2022,31838711,1712522,3524,Oct
165,Archery World Records,24-09-2022,13484717,235568,4904,Sep
166,Loser Gets Full Body Casted | OT 35,10-09-2022,16128711,289045,6152,Sep
167,Ultimate Mini Games Battle 2,27-08-2022,33131767,310930,5407,Aug
168,Dude Perfect Domino Extravaganza,13-08-2022,15194945,268117,8355,Aug
169,Dude Perfect EXPOSED 🤫🤫🤫,06-08-2022,67344613,2801625,26107,Aug
170,It Just Keeps Getting Better 😂🏓,02-08-2022,122073141,3077390,6484,Aug
171,Impossible Ping Pong Vase Challenge,21-07-2022,30321547,1559119,3778,Jul
172,Model Rocket Battle 3 | Dude Perfect,02-07-2022,53715480,723802,16356,Jul
173,Real Life Invisibility Shield | OT34,18-06-2022,17906978,335765,10996,Jun
174,That Ball Touched The CLOUDS 🏈☁️ #shorts,15-06-2022,170294676,6081325,30991,Jun
175,RC Edition 2 | Dude Perfect,04-06-2022,21839659,503989,7004,Jun
176,New Parent Stereotypes,14-05-2022,34531768,478772,12195,May
177,Treasure Hunting Battle: Crystals,30-04-2022,21436714,381323,7021,Apr
178,Water Balloon Roulette 🎈💦😬,27-04-2022,18067428,653909,1714,Apr
179,Ultimate Mini Games Battle,16-04-2022,47617925,433986,5577,Apr
180,All Sports Golf with Bryson DeChambeau,02-04-2022,19430142,414887,7076,Apr
181,Unpredictable Trick Shots 2,19-03-2022,32540555,550331,7616,Mar
182,Airplane Stereotypes,05-03-2022,45683034,667749,16466,Mar
183,Cup Trick Shots | Dude Perfect,19-02-2022,17955552,495889,11533,Feb
184,Cup Throwing Trick Shots are HARD #Shorts,09-02-2022,22400814,890126,2155,Feb
185,World's Longest T-Shirt Launch | OT 33,07-02-2022,17340901,328135,26130,Feb
186,Snow Sniper Airsoft Battle Royale,24-01-2022,24416817,541375,8978,Jan
187,Candle Blowing Challenge is INTENSE 🌬🕯,13-01-2022,81756395,4866536,3283,Jan
188,Exploding Christmas Presents | OT 32,20-12-2021,14166425,285488,9130,Dec
189,Whoever DESTROYS THEIR CAR MOST Wins | OT 31,06-12-2021,25023784,388103,29203,Dec
190,Alaska Bucket List,22-11-2021,27606462,525547,14789,Nov
191,Boomerang Trick Shots 2 | Dude Perfect,08-11-2021,11367282,326415,5386,Nov
192,Build A Raft Battle,25-10-2021,23755876,471169,26413,Oct
193,World's Smallest TV | OT 30,11-10-2021,18005735,346169,9431,Oct
194,Optical Illusion Trick Shots ft. Zach King,27-09-2021,30163332,685017,9372,Sep
195,Top 5 Vehicles Bucket List,13-09-2021,21348033,493579,13883,Sep
196,Chainsaw Carving Competition | OT 29,30-08-2021,22933698,407744,83701,Aug
197,Submarine Minefield Battle,23-08-2021,13732729,315125,5487,Aug
198,Games With Consequences | Flight Simulator,09-08-2021,7301199,224882,5082,Aug
199,Trying to Bench 405 lbs Underwater | OT 28,26-07-2021,28559334,532217,40500,Jul
200,Demolition Derby Battle,12-07-2021,19203036,485189,10864,Jul
201,Cell Phone Stereotypes,28-06-2021,46789832,745418,26148,Jun
202,World's Hottest Hot Sauce | OT 27,14-06-2021,31201053,542857,22484,Jun
203,Fastest Soapbox Car Wins,31-05-2021,30003876,642671,16610,May
204,South Africa Bucket List,17-05-2021,37140002,809793,38638,May
205,Pet Peeves (Official Music Video),03-05-2021,18863168,496227,31803,May
206,World's Weirdest Item | OT 26,19-04-2021,30860213,558849,24668,Apr
207,RC Helicopter Battle | Dude Perfect,05-04-2021,15742211,412894,8767,Apr
208,OUR WIVES JOIN THE SHOW | OT 25,22-03-2021,26449057,473714,36787,Mar
209,Longest Dunk Wins,08-03-2021,85373925,1123443,21346,Mar
210,Dude Wars | OT 24,22-02-2021,34047006,560786,29801,Feb
211,Toy Trick Shots | Dude Perfect,08-02-2021,26237252,628789,18445,Feb
212,Game Night Stereotypes,25-01-2021,49025690,748983,27371,Jan
213,Flying RC Car,11-01-2021,34996993,648892,14303,Jan
214,Worst Dude Perfect Videos of All Time | OT 23,28-12-2020,43181215,606502,43111,Dec
215,Gingerbread House Scandal | OT 22,21-12-2020,34952705,504559,22382,Dec
216,Pocket Flame Thrower | OT 21,14-12-2020,37786836,584340,24175,Dec
217,It Finally Happened | OT 20,07-12-2020,30370228,583778,35570,Dec
218,Dude Perfect Corn Maze | Nerf Battle,23-11-2020,17091931,419252,12232,Nov
219,Go Kart Paintball Battle,09-11-2020,23229518,507383,16382,Nov
220,Halloween Stereotypes,26-10-2020,60266811,874573,39114,Oct
221,GIANT Pumpkin Carving Contest | OT 19,19-10-2020,38969759,634026,21969,Oct
222,Giant Grouper Fishing Battle,05-10-2020,23109011,506404,17735,Oct
223,WORST PUNISHMENT YET | OT 18,21-09-2020,51655129,1000551,42474,Sep
224,Concrete Shoes Football Battle,07-09-2020,24457233,508239,14047,Sep
225,Airsoft Battle Royale 3,31-08-2020,24169792,660317,25686,Aug
226,Real Life Robot Dog | OT 17,24-08-2020,46390465,771728,28307,Aug
227,Swimming Pool Stereotypes,17-08-2020,79090002,1096917,36155,Aug
228,Impossible Ping Pong Trick Shots,03-08-2020,34229006,826235,20934,Aug
229,Card Throwing Trick Shots 2,20-07-2020,27711838,783025,25375,Jul
230,Farthest Throw from Giant Tower Wins,06-07-2020,37659142,857138,20518,Jul
231,Unpredictable Trick Shots | Dude Perfect,22-06-2020,61935527,1222077,45914,Jun
232,All Sports Golf Battle 4,10-06-2020,45452078,795899,26550,Jun
233,Worst Haircut Ever | OT 16,25-05-2020,43080637,634389,33388,May
234,Dude Perfect: Backstage Pass | Official Documentary,11-05-2020,53983122,710355,42144,May
235,Quarantine Stereotypes,27-04-2020,75059946,1139293,58338,Apr
236,Eating Dog Food Like Cereal 🤢 | OT 15,20-04-2020,26581205,480913,39274,Apr
237,Blindfolded Archery Battle,06-04-2020,22594604,417838,12885,Apr
238,Giant Foam Pit | Dude Perfect,23-03-2020,30260850,547059,19072,Mar
239,Top 10 Candy List EVER | OT 14,09-03-2020,54132253,615508,53458,Mar
240,Airsoft Battle Royale 2,24-02-2020,59148481,1087741,34818,Feb
241,Water Bottle Flip 3 | Dude Perfect,10-02-2020,50243594,996990,24867,Feb
242,Lightsaber Accident | OT 13,27-01-2020,51505499,767481,46932,Jan
243,Aircraft Carrier Bucket List,13-01-2020,60262356,1186950,45210,Jan
244,Hockey Trick Shots,30-12-2019,18403302,440541,17294,Dec
245,Best of Dude Perfect | 2019,16-12-2019,9195075,349279,8117,Dec
246,All Sports Bowling Battle,02-12-2019,34348843,510683,14021,Dec
247,Nerf Trick Shots,18-11-2019,28804366,689223,14278,Nov
248,GIANT Waterslide Battle,04-11-2019,47144851,786809,15033,Nov
249,We Broke The Budget | OT 12,28-10-2019,69284133,1793617,159727,Oct
250,Unexpected Trick Shots,21-10-2019,52520513,1013756,26952,Oct
251,All Sports Trick Shots | Dude Perfect,07-10-2019,29247636,598767,23172,Oct
252,Camping Stereotypes,23-09-2019,65054880,868614,34464,Sep
253,Helicopter Battleship Battle | Dude Perfect,09-09-2019,20651669,401408,11301,Sep
254,World's Weirdest Pillow | OT 11,26-08-2019,47843969,578999,21625,Aug
255,Editor Edition 2 | Dude Perfect,12-08-2019,18047987,522283,13845,Aug
256,Bass Fishing Battle | Dude Perfect,29-07-2019,50319470,688655,19496,Jul
257,RC Airplane Battle | Dude Perfect,15-07-2019,45787373,832023,22747,Jul
258,World's Best Gaming Room | OT 10,01-07-2019,50885773,731249,29173,Jul
259,Metal Detector Battle 2 | Dude Perfect,17-06-2019,68368003,867877,28339,Jun
260,Plunger Trick Shots | Dude Perfect,03-06-2019,61766869,1002342,36312,Jun
261,Laying in a Box of Snakes | OT 9,20-05-2019,44315672,569579,28401,May
262,Ping Pong Trick Shots 5 | Dude Perfect,06-05-2019,67994679,1350259,24561,May
263,All Sports Baseball Battle | Dude Perfect,22-04-2019,63619229,796411,20891,Apr
264,Nerf Fortnite Blasters Battle | Dude Perfect,08-04-2019,50534055,751272,22788,Apr
265,Real Life Trick Shots Bloopers | OT 8,25-03-2019,58658720,728581,34445,Mar
266,Airplane Trick Shots 2 | Dude Perfect,11-03-2019,68601922,1267112,32276,Mar
267,Real Life Trick Shots 3 | Dude Perfect,25-02-2019,134021418,2365051,46942,Feb
268,One of us Shaves our Eyebrows 😬 | OT 7,11-02-2019,41708487,522901,30975,Feb
269,Super Bowl Stadium Trick Shots | Dude Perfect,28-01-2019,26337745,480516,17588,Jan
270,Model Rocket Battle 2 | Dude Perfect,14-01-2019,186707155,2220449,48801,Jan
271,Dude Perfect Rewind 2018,31-12-2018,16095117,401359,16123,Dec
272,Skiing Stereotypes | Dude Perfect,17-12-2018,78519581,863464,34385,Dec
273,World Record Exercise Ball Surfing | OT 6,03-12-2018,83982478,766670,27450,Dec
274,Airsoft Battle Royale | Dude Perfect,19-11-2018,86982759,1442502,53811,Nov
275,Dunk Tank FIFA | Dude Perfect,05-11-2018,40937328,520423,19784,Nov
276,Grocery Store Stereotypes,22-10-2018,115837273,1145180,63090,Oct
277,World's Strongest Laser | OT 5,08-10-2018,79474043,910124,42362,Oct
278,Archery Trick Shots 2 | Dude Perfect,24-09-2018,31875519,609097,31118,Sep
279,High Speed Sports Battle | Dude Perfect,10-09-2018,36833295,1121736,25068,Sep
280,Bowling Trick Shots 2 | Dude Perfect,27-08-2018,77858331,951173,27884,Aug
281,Nerf Blasters Floating Island Battle | Dude Perfect,13-08-2018,100262303,1098811,35395,Aug
282,All Sports Golf Battle 3 | Dude Perfect,06-08-2018,73700644,744474,29499,Aug
283,Dirt Bike Battle | Dude Perfect,30-07-2018,75856549,975670,26713,Jul
284,The Net Gun | OT 4,16-07-2018,89372681,824014,54763,Jul
285,Ping Pong Trick Shots 4 | Dude Perfect,02-07-2018,174384888,4481753,58341,Jul
286,Real Life Rocket League Battle | Dude Perfect,18-06-2018,43480121,620625,40508,Jun
287,Old School Trick Shots | Dude Perfect,04-06-2018,71310293,1035564,52588,Jun
288,Giant Darts Battle | Dude Perfect,21-05-2018,70161001,834370,32783,May
289,Fortnite with Ninja | OT 3,07-05-2018,64627800,908899,43356,May
290,Deep Sea Fishing Battle | Dude Perfect,23-04-2018,105601564,1150137,46934,Apr
291,Crossbow Trick Shots | Dude Perfect,09-04-2018,36637612,613783,27132,Apr
292,Boomerang Trick Shots | Dude Perfect,26-03-2018,116978924,2286534,45287,Mar
293,March Madness Stereotypes,13-03-2018,78874488,755300,32032,Mar
294,World's Longest LEGO Walk | OT 2,05-03-2018,63620976,848740,48924,Mar
295,Football vs Soccer Trick Shots | Dude Perfect,19-02-2018,109517789,1667345,99300,Feb
296,Model Rocket Battle | Dude Perfect,05-02-2018,116302277,1271555,59982,Feb
297,Real Life Trick Shots 2 | Dude Perfect,22-01-2018,332084943,4879472,130291,Jan
298,Can you Crush a Diamond with a Hammer? | OT 1,08-01-2018,71929305,1103624,103767,Jan
299,Dude Perfect Rewind 2017,26-12-2017,19379831,478357,18544,Dec
300,Christmas Stereotypes,11-12-2017,123832093,1240601,74842,Dec
301,All Sports Golf Battle 2 | Dude Perfect,04-12-2017,112791795,891254,42715,Dec
302,Water Bottle Flip 2 | Dude Perfect,20-11-2017,544205567,3159577,90168,Nov
303,Freeze Frame Football Battle | Dude Perfect,07-11-2017,102855462,1148344,30146,Nov
304,Baseball Trick Shots | Dude Perfect,23-10-2017,46048398,498661,24450,Oct
305,Glow In The Dark Trick Shots | Dude Perfect,16-10-2017,30836527,559055,24986,Oct
306,Build A Boat Battle,09-10-2017,96516372,1029140,64720,Oct
307,Soccer Trick Shots 2 | Dude Perfect,25-09-2017,45327640,678194,55166,Sep
308,Nerf Bow Trick Shots | Dude Perfect,11-09-2017,72125000,957448,28059,Sep
309,Airplane Trick Shots | Dude Perfect,28-08-2017,258649836,5684865,80648,Aug
310,Blitzball Trick Shots 3 | Dude Perfect,14-08-2017,73778109,942566,36836,Aug
311,Nerf Slip and Slide Battle | Dude Perfect,31-07-2017,53191527,1384630,25428,Jul
312,Card Throwing Trick Shots | Dude Perfect,17-07-2017,183056583,3114204,69874,Jul
313,Beach Stereotypes | Dude Perfect,03-07-2017,216975126,1901086,60524,Jul
314,Fidget Spinner Trick Shots | Dude Perfect,19-06-2017,183258595,2302869,88305,Jun
315,Drew Brees Edition | Dude Perfect,05-06-2017,28351441,471048,38393,Jun
316,Real Life Trick Shots | Dude Perfect,25-05-2017,253038935,3231695,93348,May
317,Giant Basketball Trick Shots | Dude Perfect,15-05-2017,31505768,484486,36182,May
318,Stunt Driving Battle | Dude Perfect,01-05-2017,66034549,1896776,35273,May
319,Giant Sumo Battle | Dude Perfect,17-04-2017,98285023,1814626,111892,Apr
320,Ping Pong Trick Shots 3 | Dude Perfect,03-04-2017,324792534,6445306,610376,Apr
321,Dude Perfect vs. Power Rangers,20-03-2017,44445983,477272,18638,Mar
322,Virtual Reality Battle | Dude Perfect,06-03-2017,52252997,522842,17155,Mar
323,Pool Trick Shots 2 |  Dude Perfect,20-02-2017,85398961,1135174,49390,Feb
324,World Record Edition 2 | Dude Perfect,06-02-2017,40045529,525693,26637,Feb
325,Epic Trick Shot Battle 3 | Dude Perfect,30-01-2017,62520366,690514,22410,Jan
326,Dude Perfect Rewind 2016,02-01-2017,12034927,285778,19225,Jan
327,Editor Edition | Dude Perfect,19-12-2016,29918232,661072,21496,Dec
328,Extreme Weather Golf Battle | Dude Perfect,05-12-2016,44603320,424274,29404,Dec
329,Flip Edition | Dude Perfect,21-11-2016,173089632,1971337,88046,Nov
330,Drone Hunting Battle | Dude Perfect,07-11-2016,73511516,725159,32390,Nov
331,DPHQ2 Trick Shots | Dude Perfect,31-10-2016,57500241,710871,157325,Oct
332,Giant Warship Battle | Dude Perfect,17-10-2016,112880874,986972,34043,Oct
333,Metal Detector Battle | Dude Perfect,10-10-2016,68552671,622416,24564,Oct
334,Trampoline Charades Battle | Dude Perfect,26-09-2016,37827551,379820,33453,Sep
335,Giant Nerf Trick Shots | Dude Perfect,12-09-2016,84469269,885096,161090,Sep
336,Shotgun Trick Shots | Dude Perfect,29-08-2016,58741256,942454,48913,Aug
337,Endless Ducker Battle | Dude Perfect,15-08-2016,33414351,273436,34791,Aug
338,DP vs NFL Battle | Dude Perfect,01-08-2016,40110117,338461,13046,Aug
